seccion,numero seccion,circuito,codigo circuito,centro de votacion,mesa,UNITE POR LA LIBERTAD Y LA DIGNIDAD P195,PARTIDO HUMANISTA P22,CORDOBA CAMBIA A500,ENCUENTRO VECINAL CORDOBA P217,UCeDe 20,POLITICA ABIERTA PARA LA INTEGRIDAD SOCIAL P231,UCR 3,FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES A830,MOVIMIENTO DE AVANZADA SOCIALISTA P238,HACEMOS POR CORDOBA A601,MOVIMIENTO DE ACCION VECINAL P57,VECINALISMO INDEPENDIENTE P191,UNION CIUDADANA P200,MST - NUEVA IZQUIERDA A300,TOTAL VOTOS AGRUPACIONES POLITICA,VOTOS EN BLANCO,VOTOS NULOS,VOTOS RECURRIDOS,TOTAL DE VOTOS ESCRUTADOS
Capital,1,VILLA REVOL,4B,COL PARROQUIAL CRISTO REDENTOR,283,0,3,62,26,1,0,25,17,1,102,1,7,1,9,0,7,7,0,269
Capital,1,INAUDI,4C,IPEN 310- PUERTO ARGENTINO,293,0,6,51,28,0,0,23,13,0,135,0,7,0,6,269,9,7,0,285
Capital,1,VILLA EUCARISTICA,4D,COL VILLA EUCARISTICA,304,0,3,80,53,0,0,11,13,0,90,1,11,1,8,287,8,7,1,287
Capital,1,NUESTRO HOGAR III,4E,ESC.SABIN,307,0,7,32,23,0,0,14,5,0,146,2,0,0,7,0,5,13,0,254
Capital,1,NUESTRO HOGAR III,4E,ESC.SABIN,308,0,0,33,8,0,2,23,7,1,118,1,5,2,1,214,13,7,13,234
Capital,1,CIUDAD OBISPO ANGELELLI,4F,NSC.OSCAR RAUL MALVASIO,321,0,1,12,12,0,0,16,3,0,151,2,1,0,0,198,26,8,1,233
Capital,1,ALTAMIRA,5,ESC ESPAÑA,328,0,4,35,19,0,0,30,11,0,110,0,4,4,6,223,8,13,0,244
Capital,1,ALTAMIRA,5,ESC ESPAÑA,333,0,3,39,10,0,0,24,11,1,126,0,5,0,3,222,11,9,0,242
Capital,1,ALTAMIRA,5,ESC ESPAÑA,334,0,4,46,14,0,0,19,11,0,126,2,1,0,5,228,5,5,0,237
Capital,1,ALTAMIRA,5,ESC PANAMERICANA,351,0,1,27,10,1,0,23,2,6,135,3,2,2,1,213,7,8,0,222
Capital,1,COLONIA LOLA,5A,ELENA LOPEZ LALLANA,375,0,1,28,7,1,0,15,1,1,151,0,0,0,1,206,23,6,0,233
Capital,1,EMPALME,5C,INST SEC EMPALME GONZALEZ LACA,416,0,3,47,17,0,0,21,8,2,115,0,6,1,5,225,15,0,10,250
Capital,1,EMPALME,5C,FRAY JUSTO STA MARÍA DE ORO,426,0,1,55,8,2,0,29,0,0,121,2,0,2,3,223,19,6,0,248
Capital,1,VILLA BUSTOS,5E,ESC TTE GRAL P RICCHIERI,474,0,9,24,9,0,0,22,1,0,150,0,5,0,1,222,7,0,12,241
Capital,1,VILLA BUSTOS,5E,IPEM 136 DR ALFREDO PALACIOS,475,0,4,13,11,0,0,25,2,2,38,1,3,0,2,225,6,7,0,238
Capital,1,RENACIMIENTO,5F,ESC M COOPERATIVISMO ARGENTINO,486,0,3,13,16,0,0,19,1,1,132,1,1,0,2,246,32,25,0,246
Capital,1,RENACIMIENTO,5F,ESC M COOPERATIVISMO ARGENTINO,488,0,5,20,12,0,4,11,4,3,154,0,0,0,1,214,0,16,1,239
Capital,1,RENACIMIENTO,5F,ESC M COOPERATIVISMO ARGENTINO,493,0,2,13,9,0,0,19,8,1,159,0,3,0,3,210,30,3,0,243
Capital,1,SAN VICENTE,5G,ESC SANTA MARGARITA DE CORTONA,502,0,2,58,14,0,0,20,12,0,106,0,5,1,5,0,7,4,0,234
Capital,1,SAN VICENTE,5G,ESC DGO F SARMIENTO,512,0,4,46,12,0,0,25,13,2,99,0,3,1,1,206,11,7,8,232
Capital,1,SAN VICENTE,5G,ESC PTE RIVADAVIA,523,0,5,48,4,1,0,25,12,1,102,0,3,4,3,209,11,8,0,228
Capital,1,SAN VICENTE,5G,ESC PTE RIVADAVIA,525,0,2,37,11,0,0,23,13,1,111,0,8,1,2,209,6,13,0,228
Capital,1,SAN VICENTE,5G,ESC MARIA IGNACIA NAVARRO DE L,532,0,3,56,15,0,0,13,5,0,119,2,7,1,6,227,11,10,3,251
Capital,1,COLINAS DEL SUR,5I,ESC.PTE. JUAN D.PERÓN,554,3,27,7,1,0,33,2,0,134,0,3,2,3,0,201,8,0,6,215
Capital,1,GRAL PAZ,6C,ESC RAMON J CARCANO,585,0,1,61,24,1,0,22,17,0,39,1,6,4,6,0,8,3,1,243
Capital,1,GRAL PAZ,6C,ESC NORMAL GARZON AGULLA,601,0,3,68,19,0,0,20,13,2,93,1,4,0,2,225,2,5,0,332
Capital,1,GRAL PAZ,6C,ESC NORMAL GARZON AGULLA,603,0,2,54,18,0,0,20,25,0,86,0,4,1,7,217,6,8,0,231
Capital,1,JUNIORS,6D,ESC GABRIELA MISTRAL,620,0,5,67,14,1,0,19,22,0,104,0,6,2,3,243,7,8,0,258
Capital,1,JUNIORS,6D,ESC BRIGADIER C SAAVEDRA,625,0,2,61,8,2,0,15,28,0,101,1,6,1,3,228,5,7,0,240
Capital,1,YAPEYU,6F,ESC R GÜIRALDES,643,0,40,18,18,0,0,13,15,1,112,1,3,1,3,217,17,0,3,237
Capital,1,YAPEYU,6F,ESC R GÜIRALDES,653,0,0,30,9,0,0,14,9,0,142,1,1,0,5,0,0,0,0,0
Capital,1,YAPEYU,6F,ESC GDOR AMADEO SABATTINI,662,0,0,36,9,0,0,17,5,0,128,0,3,0,3,201,15,17,3,236
Capital,1,AEROPUERTO,7,ESC JORGE NEWBERY (CIRC 7F),667,0,1,13,1,0,0,5,1,0,39,0,1,1,0,62,4,1,0,67
Capital,1,GUIÑAZU,7A,ESC  UNESCO,683,0,2,26,13,0,0,17,4,1,150,1,1,0,4,223,11,11,0,243
Capital,1,ALTA CORDOBA,7B,ESC PCIA DE ENTRE RIOS,713,0,2,63,16,0,0,21,11,1,112,0,6,0,6,238,3,4,0,254
Capital,1,ALTA CORDOBA,7B,ESC PCIA DE ENTRE RIOS,714,0,1,52,16,1,0,22,14,0,107,0,3,4,3,223,15,6,3,247
Capital,1,ALTA CORDOBA,7B,INST CORAZON DE MARIA,727,0,1,54,10,0,0,15,18,1,108,0,5,5,5,212,8,4,3,237
Capital,1,MARQUES DE SOBREMONTE,7E,ESC HONORATO LACONI,784,0,1,64,18,0,0,31,11,1,112,1,5,3,10,257,8,7,0,272
Capital,1,MARQUES DE SOBREMONTE,7E,ESC PETER PAN,810,5,53,16,0,0,0,17,8,0,115,0,6,0,6,230,4,6,0,240
Capital,1,JORGE NEWBERY,7F,ESC JORGE NEWBERY,832,0,4,30,10,1,0,20,6,0,144,0,1,1,5,222,9,7,0,238
Capital,1,JORGE NEWBERY,7F,ESC JORGE NEWBERY,838,0,4,51,17,1,0,19,6,0,132,0,1,1,8,240,8,12,0,260
Capital,1,PANAMERICANO,7G,ESC GOBERNADOR MANUEL LOPEZ,855,0,1,35,9,0,0,24,10,1,139,0,7,2,2,230,18,0,1,249
Capital,1,PANAMERICANO,7G,ESC GOBERNADOR MANUEL LOPEZ,857,0,1,47,9,0,0,22,5,0,121,1,1,0,5,212,6,10,1,228
Capital,1,PANAMERICANO,7G,ESC GOBERNADOR MANUEL LOPEZ,858,0,2,40,12,0,0,32,12,1,126,0,0,1,3,228,4,0,5,237
Capital,1,PANAMERICANO,7G,ESC ARTURO CAPDEVILA,862,0,5,51,13,0,0,20,12,0,129,0,6,0,2,238,14,8,0,260
Capital,1,PANAMERICANO,7G,ESC ARTURO CAPDEVILA,863,0,5,20,20,0,0,15,11,0,129,1,1,3,4,227,17,8,0,252
Capital,1,PANAMERICANO,7G,ESC FRANCISCO VIDAL,880,0,2,44,5,0,0,25,10,1,146,0,2,0,1,236,15,4,3,258
Capital,1,LA FLORESTA NORTE,8,ESC  RABINDRANAT TAGORE,894,0,2,17,4,1,0,22,0,0,95,0,1,1,2,145,40,2,8,165
Capital,1,PUEYRREDON,8B,ESC DEAN FUNES,929,0,2,42,12,0,0,18,17,0,117,1,6,3,7,225,4,0,4,242
Capital,1,PUEYRREDON,8B,INST SAGRADO CORAZON,941,0,2,45,13,1,0,16,6,0,135,1,0,2,4,225,7,10,0,242
Capital,1,PUEYRREDON,8B,ESC ROBLES,943,0,1,49,9,0,0,18,7,0,132,0,1,1,8,229,5,9,0,244
Capital,1,PUEYRREDON,8B,INST SAGRADA FAMILIA,957,0,0,52,11,0,0,16,8,1,108,1,2,1,5,207,11,6,1,225
Capital,1,PUEYRREDON,8B,INST SAGRADA FAMILIA,961,0,3,51,14,0,0,26,5,0,113,1,5,3,7,0,6,10,0,0
Capital,1,VILLA LOS PINOS,8C,ESC TRINIDAD MORENO(IPEM 174),965,0,4,32,9,2,0,26,4,1,145,0,3,1,3,230,8,13,0,251
Capital,1,VILLA LOS PINOS,8C,ESC TRINIDAD MORENO(IPEM 174),975,0,4,45,16,0,0,39,5,0,109,1,4,1,5,229,10,0,0,239
Capital,1,ESCOBAR,9,ESC PROVINCIA DE CORRIENTES,992,0,1,105,10,1,0,16,12,0,83,0,2,6,3,239,6,6,0,251
Capital,1,ESCOBAR,9,INST ESCUTI,999,0,1,64,1,0,0,18,15,1,95,1,5,0,4,224,5,0,7,236
Capital,1,ESCOBAR,9,INST ESCUTI,1002,0,2,74,24,4,0,20,14,2,96,0,7,4,3,250,10,2,4,266
Capital,1,LA FRANCE,9A,ESC MAHATMA GANDHI,1011,0,0,66,16,0,0,22,9,0,103,0,4,3,7,230,4,4,0,238
Capital,1,LA FRANCE,9A,COL PQUIAL C NAMUNCURA,1018,0,3,65,13,0,0,14,5,0,96,0,1,2,7,206,9,9,0,224
Capital,1,LOS PARAISOS,9C,COLEGIO FERMIN LAFITTE,1057,0,0,55,17,0,0,122,0,0,2,4,0,0,0,220,12,9,0,241
Capital,1,LOS PARAISOS,9C,ESC JUVENILIA,1064,0,4,47,8,2,0,25,6,0,104,0,3,2,5,0,9,9,11,0
Capital,1,LOS PARAISOS,9C,ESC PCIA  DE MISIONES,1082,0,2,43,10,2,0,29,10,0,11,2,2,2,4,221,12,9,0,242
Capital,1,POETA LUGONES,9D,COL EL SALVADOR,1083,0,8,73,18,0,0,24,5,0,91,0,6,2,11,238,9,5,9,261
Capital,1,POETA LUGONES,9D,ESC LEOPOLDO LUGONES,1097,0,2,75,11,0,0,29,8,0,112,0,6,3,7,244,7,2,0,253
Capital,1,POETA LUGONES,9D,ESC LEOPOLDO LUGONES,1099,0,2,77,17,0,0,18,3,2,123,0,10,1,5,258,7,6,0,271
Capital,1,POETA LUGONES,9D,ESC LEOPOLDO LUGONES,1100,0,5,72,13,0,0,27,9,0,112,0,4,3,11,256,9,5,0,270
Capital,1,PROVIDENCIA,9E,ESC PTE HIPOLITO YRIGOYEN,1111,0,3,31,13,0,0,31,7,0,123,0,4,5,2,219,6,5,0,230
Capital,1,PROVIDENCIA,9E,ESC PTE HIPOLITO YRIGOYEN,1116,0,5,52,12,0,0,22,14,1,98,0,2,2,6,214,6,0,7,227
Capital,1,PROVIDENCIA,9E,ESC PTE HIPOLITO YRIGOYEN,1124,0,3,61,14,0,0,18,17,0,102,0,1,6,8,230,5,0,3,238
Capital,1,SAN MARTIN,9F,ESC ANTONIO DEL VISO,1129,0,7,57,12,1,0,25,10,0,99,0,5,2,5,223,12,9,0,249
Capital,1,VILLA CABRERA,9G,INSTITUTO PEÑA,1170,0,3,78,8,1,0,20,20,1,95,0,5,2,8,232,7,2,1,242
Capital,1,VILLA CABRERA,9G,INSTITUTO PEÑA,1172,0,0,67,16,2,0,16,13,0,109,3,3,0,7,242,8,8,0,258
Capital,1,VILLA CABRERA,9G,INSTITUTO PEÑA,1178,0,5,86,15,1,0,16,16,0,83,0,3,2,9,236,3,5,0,244
Capital,1,BELLA VISTA,10,ESC ROQUE SAENZ PEÑA,1187,0,2,38,20,0,0,18,11,0,130,1,4,1,6,249,6,11,1,249
Capital,1,BELLA VISTA,10,INST EDUCACION CORDOBA,1208,0,3,42,8,4,0,13,14,1,121,1,3,3,4,216,3,9,8,236
Capital,1,BELLA VISTA,10,INST EDUCACION CORDOBA,1211,0,5,62,17,1,0,19,11,0,97,2,2,3,5,0,10,1,4,239
Capital,1,BELLA VISTA,10,INST EDUCACION CORDOBA,1215,0,8,9,2,0,18,22,3,147,0,3,2,9,0,250,10,5,0,250
Capital,1,BELLA VISTA,10,E.N.E.T. N°1 DR A SABATTINI,1225,0,3,5,10,1,0,21,11,0,96,0,2,1,4,214,3,6,0,223
Capital,1,BELLA VISTA,10,ESC MANUEL BELGRANO,1228,0,1,51,11,0,0,20,11,1,119,1,5,2,3,225,7,5,0,237
Capital,1,ESTACION FLORES,10E,ESC  ALAS ARGENTINA,1341,0,1,27,10,1,0,23,2,0,135,3,2,2,1,207,8,8,0,223
Capital,1,ESTACION FLORES,10E,ESC  ALAS ARGENTINA,1349,0,2,34,11,0,0,15,5,1,112,0,1,0,4,185,19,17,0,221
Capital,1,MATIENZO,10F,ESC AERONAUTICA ARGENTINA,1368,0,6,44,24,0,0,24,13,1,117,0,5,3,8,245,13,4,0,262
Capital,1,MATIENZO,10F,COL NUESTRA SEÑORA DE FATIMA,1374,0,2,45,22,0,0,19,12,1,127,2,8,1,8,243,10,4,0,261
Capital,1,MATIENZO,10F,COL NUESTRA SEÑORA DE FATIMA,1381,0,3,48,23,0,0,19,13,1,112,2,3,4,5,233,10,11,0,254
Capital,1,OBSERVATORIO,10G,E.N.E.T. N° 4 COPERNICO,1408,0,3,50,13,0,0,13,10,0,101,0,4,4,12,210,5,6,4,225
Capital,1,OBSERVATORIO,10G,E.N.E.T. N° 4 COPERNICO,1418,0,1,53,26,0,0,23,13,1,101,1,4,2,7,0,6,1,5,244
Capital,1,OBSERVATORIO,10G,EE UU DE NORTEAMERICA,1427,0,6,49,13,0,0,31,20,0,80,1,3,4,3,210,10,3,0,228
Capital,1,OBSERVATORIO,10G,EE UU DE NORTEAMERICA,1428,0,3,57,21,1,0,21,13,1,93,1,5,4,3,240,4,3,0,247
Capital,1,PARQUE CAPITAL,10H,ESC GDOR EMILIO OLMOS,1462,0,4,55,15,0,0,18,10,0,120,1,6,0,11,240,4,1,5,250
Capital,1,PARQUE CAPITAL,10H,ESC MUNIC DR A DEL CASTILLO,1483,0,7,60,7,2,0,36,21,2,104,0,8,1,8,236,9,7,0,272
Capital,1,PARQUE HORIZONTE,10I,PRIMARIA ELPIDIO TORRES,1501,0,1,74,28,0,0,14,14,1,104,1,9,0,12,258,12,0,4,274
Capital,1,VICOR,10K,ESC BENITO SORIA,1571,2,2,33,17,0,3,31,6,1,136,0,0,0,0,0,0,0,0,0
Capital,1,VILLA EL LIBERTADOR,10L,ESC MUNIC ALICIA MOREAU DE JUS,1605,0,5,41,9,0,0,13,2,1,151,0,2,1,5,0,24,11,0,230
Capital,1,VILLA EL LIBERTADOR,10L,COL SAN JOSE OBRERO,1625,0,2,10,4,2,0,19,4,0,174,0,2,0,3,220,22,5,3,250
Capital,1,AERONAUTICO,11,ESC ISABEL LA CATOLICA,1666,0,4,63,4,0,0,17,11,0,112,0,6,1,7,0,15,6,1,234
Capital,1,ALTO ALBERDI,11A,ESC SUP DE COMERCIO H VIEYTES,1690,0,0,56,17,0,0,11,11,0,113,0,2,0,6,217,7,0,8,232
Capital,1,DON BOSCO,11B,INSTITUTO TECNICO DON BOSCO,1742,0,5,54,20,0,0,14,3,0,119,1,5,1,4,245,9,10,0,245
Capital,1,DON BOSCO,11B,INSTITUTO TECNICO DON BOSCO,1746,0,2,49,10,0,0,18,5,1,136,2,5,2,1,244,3,8,2,243
Capital,1,LAS PALMAS,11C,ESC MANUEL E PIZARRO,1779,0,3,61,13,0,0,25,11,0,126,1,4,1,4,249,5,6,0,260
Capital,1,LAS PALMAS,11C,ESC MANUEL E PIZARRO,1784,0,3,74,15,2,0,23,10,0,128,0,4,3,3,245,6,6,0,257
Capital,1,LOS NARANJOS,11D,INST JESUS MARIA,1804,0,1,69,18,0,0,21,9,1,93,1,3,1,8,225,5,8,0,238
Capital,1,LOS PLATANOS,11E,ESC JOSE MARMOL,1854,0,3,54,7,0,14,13,0,130,1,1,2,7,0,232,21,0,10,263
Capital,1,LOS PLATANOS,11E,ESC PADRE T GAMBINO,1872,0,6,51,8,0,0,25,7,1,120,0,3,0,5,226,10,7,13,256
Capital,1,LOS ROBLES,11F,ESC BATERIA LIBERTAD,1906,0,6,62,20,0,0,23,9,0,112,0,3,3,3,0,9,4,0,254
Capital,1,LOS ROBLES,11F,ESC BATERIA LIBERTAD,1907,0,2,69,17,0,0,25,9,0,115,0,6,1,1,245,11,5,1,263
Capital,1,QUEBRADA LAS ROSAS,11H,ESC GABRIELA MISTRAL,1957,0,3,64,20,0,0,20,10,0,123,0,3,1,11,255,5,5,1,266
Capital,1,QUEBRADA LAS ROSAS,11H,ESC REPUBLICA DE VENEZUELA,1968,0,5,86,20,0,1,18,14,0,101,1,4,1,2,253,14,1,4,272
Capital,1,RESIDENCIAL SAN ROQUE,11I,ESC MAURO FERNANDEZ,1984,0,2,27,10,0,0,27,2,1,152,0,2,1,0,224,14,8,4,250
Capital,1,SANTA ANA,11J,ESC ROMA,2016,0,0,68,18,0,15,15,11,0,106,0,4,1,9,232,9,2,7,250
Capital,1,SANTA ANA,11J,ESC ROMA,2032,0,2,80,18,0,0,17,10,0,96,0,1,2,7,233,9,6,0,248
Capital,1,SANTA ANA,11J,ESC GENERAL MOSCONI,2063,0,3,67,18,0,0,23,12,0,106,0,4,3,7,244,10,8,0,262
Capital,1,SANTA ANA,11J,ESC GENERAL MOSCONI,2064,0,3,64,14,0,0,28,16,1,111,0,3,1,10,251,12,1,0,264
Capital,1,VILLA GRAL URQUIZA,11K,ESC EJERCITO ARGENTINO,2073,0,3,32,11,0,0,19,5,1,140,0,2,1,2,216,14,0,0,234
Capital,1,VILLA GRAL URQUIZA,11K,ESC MUNIC E BAQUERO LASCANO,2076,0,3,41,12,0,0,22,7,0,153,0,0,0,2,240,7,0,6,253
Capital,1,VILLA GRAL URQUIZA,11K,COL MADRE PAULA MONTAL,2094,0,1,31,10,0,0,17,9,0,125,1,2,0,0,201,13,9,6,229
Capital,1,CARCANO,12A,ESC.MA.DEL TRANSITO CABANILLAS,2160,0,4,23,4,0,0,18,2,1,175,1,0,0,2,230,22,13,0,265
Capital,1,COLON,12B,ESC BARTOLOME HIDALGO,2198,0,5,49,14,0,0,20,8,1,105,0,4,3,0,212,7,22,0,241
Capital,1,COLON,12B,ESC HILARIO ASCASUBI,2219,0,3,51,21,0,0,32,8,2,96,1,1,1,4,220,8,1,0,229
Capital,1,COLON,12B,ESC HILARIO ASCASUBI,2220,0,0,54,19,0,0,26,12,0,110,2,4,1,3,242,6,5,0,242
Capital,1,COLON,12B,INST MANUEL BELGRANO,2222,0,2,47,14,0,0,26,6,1,116,0,8,2,3,225,8,1,0,234
Capital,1,COLON,12B,INST MANUEL BELGRANO,2224,0,3,48,16,0,0,16,7,1,127,0,5,1,10,234,11,4,0,249
Capital,1,COLON,12B,ESC DR LUIS A CAEIRO,2230,0,4,54,9,0,0,21,9,0,117,1,8,3,7,233,5,0,6,244
Capital,1,JOSE IGNACIO DIAZ,12D,ESC MUNIC DR ARTURO H ILLIA,2284,0,3,33,6,0,0,27,6,1,135,0,3,1,4,0,8,10,0,237
Capital,1,FERREYRA,12E,ESC REPUBLICA DE COSTA RICA,2324,0,1,30,7,0,0,24,3,0,146,0,2,0,0,213,16,0,2,231
Capital,1,FERREYRA,12E,ESC REPUBLICA DE COSTA RICA,2325,0,2,21,11,10,0,13,4,1,155,1,4,0,0,0,17,19,0,242
Capital,1,FERREYRA,12E,ESC REPUBLICA DE COSTA RICA,2327,0,2,19,10,0,0,19,5,1,142,2,1,1,6,0,16,9,0,232
Capital,1,JOSE HERNANDEZ,12F,ESC MUNIC E MOLINARI ROMERO,2342,0,2,70,16,1,0,15,9,1,128,0,6,2,5,255,16,0,5,276
Capital,1,JOSE HERNANDEZ,12F,ESC MUNIC E MOLINARI ROMERO,2345,0,3,59,16,0,0,21,11,3,120,0,9,5,3,250,10,7,0,0
Capital,1,JOSE HERNANDEZ,12F,ESC MUNIC BRIG JUAN I DE S MAR,2349,0,3,56,19,0,2,21,6,0,121,1,3,2,7,241,9,7,3,260
Capital,1,JOSE HERNANDEZ,12F,COL.JOVENES ARGENTINOS,2374,0,1,49,8,1,0,27,8,1,122,0,2,1,5,223,3,0,3,232
Capital,1,ITUZAINGO,12G,ESC EJERCITO ARGENTINO,2404,0,9,44,9,1,0,23,10,0,126,1,6,1,5,235,4,0,20,259
Capital,1,ITUZAINGO,12G,ESC EJERCITO ARGENTINO,2417,0,1,33,29,0,0,18,6,1,146,1,3,1,3,238,5,13,0,280
Capital,1,ITUZAINGO,12G,ESC EJERCITO ARGENTINO,2418,0,0,47,23,0,19,9,0,140,0,10,3,3,0,254,11,9,0,274
Capital,1,LOS CERVECEROS,12H,ESC MADRE TERESA DE CALCUTA,2437,0,3,56,13,0,0,14,15,0,147,1,4,2,2,257,7,5,0,269
Capital,1,LOS CERVECEROS,12H,ESC RAUL A FERREYRA,2442,0,2,47,14,0,0,15,6,1,128,0,3,2,2,0,8,2,8,238
Capital,1,LEANDRO N. ALEM,13,ESC PADRE DIEGO DE TORRES,2472,0,3,47,15,0,0,21,7,2,123,1,9,2,5,249,9,5,0,249
Capital,1,LEANDRO N. ALEM,13,ESC PADRE DIEGO DE TORRES,2475,0,1,59,12,0,0,37,5,0,116,0,7,2,4,243,9,6,1,259
Capital,1,AYACUCHO,13A,ESC P ALBARRACIN DE SARMIENTO,2539,0,3,55,28,1,0,16,11,2,109,0,4,2,4,0,11,10,1,257
Capital,1,EL GATEADO,13B,ESC FLORENCIO SANCHEZ,2546,0,0,7,1,1,0,6,1,1,58,0,4,0,1,80,3,0,2,85
Capital,1,GENERAL BUSTOS,13C,ESC CAPITAL FEDERAL,2551,0,4,45,16,1,0,21,10,4,108,0,1,2,5,0,10,13,0,0
